"id","name","electoralAreaId","districtId","deleted","createdAt","updatedAt"
131,ONYANSANA,12,17,0,2023-05-23 09:38:01.868,2023-05-23 09:38:01.868
132,AYIKOFI OTATEN,12,17,0,2023-05-23 09:38:01.868,2023-05-23 09:38:01.868
133,EBENEZER,12,17,0,2023-05-23 09:38:01.868,2023-05-23 09:38:01.868
134,OBEYEYIE,13,17,0,2023-05-23 09:38:11.314,2023-05-23 09:38:11.314
135,JEDDA,13,17,0,2023-05-23 09:38:11.314,2023-05-23 09:38:11.314
136,DAR-SALAM,13,17,0,2023-05-23 09:38:11.314,2023-05-23 09:38:11.314
137,AYIKAI- DOBLO,13,17,0,2023-05-23 09:38:11.314,2023-05-23 09:38:11.314
138,YAHOMAN,14,17,0,2023-05-23 09:38:20.697,2023-05-23 09:38:20.697
139,AKRAMA-MAN,14,17,0,2023-05-23 09:38:20.697,2023-05-23 09:38:20.697
140,OKUSHIEBIADE,14,17,0,2023-05-23 09:38:20.697,2023-05-23 09:38:20.697
141,MEYIKPOR,14,17,0,2023-05-23 09:38:20.697,2023-05-23 09:38:20.697
142,NIIMAN,14,17,0,2023-05-23 09:38:20.697,2023-05-23 09:38:20.697
143,ODUMAN,15,17,0,2023-05-23 09:38:31.150,2023-05-23 09:38:31.150
144,OSHIUMAN,15,17,0,2023-05-23 09:38:31.150,2023-05-23 09:38:31.150
145,GA ODUMASE,15,17,0,2023-05-23 09:38:31.150,2023-05-23 09:38:31.150
146,NSAKINA,15,17,0,2023-05-23 09:38:31.150,2023-05-23 09:38:31.150
147,PEACE VILLAGE,15,17,0,2023-05-23 09:38:31.150,2023-05-23 09:38:31.150
148,ODUMASE,15,17,0,2023-05-23 09:38:31.150,2023-05-23 09:38:31.150
149,AFUAMAN,16,17,0,2023-05-23 09:38:42.412,2023-05-23 09:38:42.412
150,JOMA,16,17,0,2023-05-23 09:38:42.412,2023-05-23 09:38:42.412
151,ABLEKUMA ABEASE,16,17,0,2023-05-23 09:38:42.412,2023-05-23 09:38:42.412
152,BORKORBORKOR,16,17,0,2023-05-23 09:38:42.412,2023-05-23 09:38:42.412
153,ABLEKUMA,16,17,0,2023-05-23 09:38:42.412,2023-05-23 09:38:42.412
154,MANHEAN,16,17,0,2023-05-23 09:38:42.412,2023-05-23 09:38:42.412
155,PARADISE,16,17,0,2023-05-23 09:38:42.412,2023-05-23 09:38:42.412
156,ADA KOROR,16,17,0,2023-05-23 09:38:42.412,2023-05-23 09:38:42.412
157,BLOCK FACTORY,16,17,0,2023-05-23 09:38:42.412,2023-05-23 09:38:42.412
158,AGBOZOME,16,17,0,2023-05-23 09:38:42.412,2023-05-23 09:38:42.412
159,ATORMAN,17,17,0,2023-05-23 09:38:50.862,2023-05-23 09:38:50.862
160,KOTOKU,17,17,0,2023-05-23 09:38:50.862,2023-05-23 09:38:50.862
