name,districtId,createdAt,updatedAt
karkari zone 6,3,11/26/2022 13:16,11/26/2022 13:16
Star of the sea,3,11/26/2022 13:16,11/26/2022 13:16
POLYCLINIC,3,11/26/2022 13:16,11/26/2022 13:16
Round about,3,11/26/2022 13:16,11/26/2022 13:16
Beach Road- Drug Store,3,11/26/2022 13:16,11/26/2022 13:16
beach road /drug store,3,11/26/2022 13:16,11/26/2022 13:16
beach road/drug store,3,11/26/2022 13:16,11/26/2022 13:16
DANSOMAN,3,11/26/2022 13:16,11/26/2022 13:16
Shiabu,3,11/26/2022 13:16,11/26/2022 13:16
Mansralor,3,11/26/2022 13:16,11/26/2022 13:16
Blue Gate,3,11/26/2022 13:16,11/26/2022 13:16
SHIABU 205,3,11/26/2022 13:16,11/26/2022 13:16
SSNIT FLAT,3,11/26/2022 13:16,11/26/2022 13:16
B. OPOKU,3,11/26/2022 13:16,11/26/2022 13:16
CHILDREN HOSPITAL,3,11/26/2022 13:16,11/26/2022 13:16
shiabu(alijara),3,11/26/2022 13:16,11/26/2022 13:16
Ali Jara,3,11/26/2022 13:16,11/26/2022 13:16
Gbegbeise,3,11/26/2022 13:16,11/26/2022 13:16
Ali,3,11/26/2022 13:16,11/26/2022 13:16
papaye,3,11/26/2022 13:16,11/26/2022 13:16
Last Stop/Gbegbeyise,3,11/26/2022 13:16,11/26/2022 13:16
mahogany close,3,11/26/2022 13:16,11/26/2022 13:16
Kofi and Ama,3,11/26/2022 13:16,11/26/2022 13:16
Fire service,3,11/26/2022 13:16,11/26/2022 13:16
Kofi Niiama,3,11/26/2022 13:16,11/26/2022 13:16
Seven Great,3,11/26/2022 13:16,11/26/2022 13:16
osofo Daazi,3,11/26/2022 13:16,11/26/2022 13:16
Datus,3,11/26/2022 13:16,11/26/2022 13:16
Exbition,3,11/26/2022 13:16,11/26/2022 13:16
Dansoman Market,3,11/26/2022 13:16,11/26/2022 13:16
kit kat,3,11/26/2022 13:16,11/26/2022 13:16
Yellow House,3,11/26/2022 13:16,11/26/2022 13:16
Gbebu,3,11/26/2022 13:16,11/26/2022 13:16
zone 6/ shiabu,3,11/26/2022 13:16,11/26/2022 13:16
EBENEZER DOWN,3,11/26/2022 13:16,11/26/2022 13:16
ABLEKUMA WEST MUNICIPAL ASSEMBLY,3,11/26/2022 13:16,11/26/2022 13:16
DANSOMAN BEACH ROAD,3,11/26/2022 13:16,11/26/2022 13:16
ROUNDABOUT,3,11/26/2022 13:16,11/26/2022 13:16
GLEFE,3,11/26/2022 13:16,11/26/2022 13:16
Russia Road,3,11/26/2022 13:16,11/26/2022 13:16
Dasoman last stop,3,11/26/2022 13:16,11/26/2022 13:16
shiabu night market,3,11/26/2022 13:16,11/26/2022 13:16
old police station,3,11/26/2022 13:16,11/26/2022 13:16
GBEGBEYISE BASIC SCHOOL,3,11/26/2022 13:16,11/26/2022 13:16
station,3,11/26/2022 13:16,11/26/2022 13:16
Mamponse zone 6,3,11/26/2022 13:16,11/26/2022 13:16
Roundabout keep fit,3,11/26/2022 13:16,11/26/2022 13:16
Sahara Down,3,11/26/2022 13:16,11/26/2022 13:16
Ssnit,3,11/26/2022 13:16,11/26/2022 13:16
Capiatl O2,3,11/26/2022 13:16,11/26/2022 13:16
Banboi,4,11/26/2022 13:16,11/26/2022 13:16
Ebenezer crescent,4,11/26/2022 13:16,11/26/2022 13:16
swanlake,4,11/26/2022 13:16,11/26/2022 13:16
Bubuashie,4,11/26/2022 13:16,11/26/2022 13:16
zongo lane,4,11/26/2022 13:16,11/26/2022 13:16
Kaneshie,4,11/26/2022 13:16,11/26/2022 13:16
Methodist left,4,11/26/2022 13:16,11/26/2022 13:16
Methodist,4,11/26/2022 13:16,11/26/2022 13:16
naa sakwa avenue,4,11/26/2022 13:16,11/26/2022 13:16
Eduardo Mohdlana RD,4,11/26/2022 13:16,11/26/2022 13:16
Alomo Junction,4,11/26/2022 13:16,11/26/2022 13:16
Lante Maami,4,11/26/2022 13:16,11/26/2022 13:16
Chorkor,4,11/26/2022 13:16,11/26/2022 13:16
STATION,4,11/26/2022 13:16,11/26/2022 13:16
New mamprobi,4,11/26/2022 13:16,11/26/2022 13:16
Makola,4,11/26/2022 13:16,11/26/2022 13:16
North Kaneshie,4,11/26/2022 13:16,11/26/2022 13:16
Awudome,4,11/26/2022 13:16,11/26/2022 13:16
Ante Aku,4,11/26/2022 13:16,11/26/2022 13:16
Aayalolo,4,11/26/2022 13:16,11/26/2022 13:16
South Industrial Area,4,11/26/2022 13:16,11/26/2022 13:16
NIC EAST-ANYAA,4,11/26/2022 13:16,11/26/2022 13:16
Orgle Road,4,11/26/2022 13:16,11/26/2022 13:16
LARTEBIOKORSHIE,4,11/26/2022 13:16,11/26/2022 13:16
Mamprobi,4,11/26/2022 13:16,11/26/2022 13:16
Santa Maria Last stop,4,11/26/2022 13:16,11/26/2022 13:16
Camara,4,11/26/2022 13:16,11/26/2022 13:16
ayalolo,4,11/26/2022 13:16,11/26/2022 13:16
Accra Acadamy,4,11/26/2022 13:16,11/26/2022 13:16
Korle Gonno,4,11/26/2022 13:16,11/26/2022 13:16
Aaylolo,4,11/26/2022 13:16,11/26/2022 13:16
London Market,4,11/26/2022 13:16,11/26/2022 13:16
ROUND ABOUT,4,11/26/2022 13:16,11/26/2022 13:16
TCL,4,11/26/2022 13:16,11/26/2022 13:16
